Sentence-IPA	Sentence Orthography	Sentence ID	Dialogue	Notes	Speaker ID	Stress of target	Focus type	Dialect	Dialogue element	File path
mɑɾjɑmə «tikini» kɑɾtʰɑt͡sʰ	Մարիամը «տիկինի» կարդա՞ց։	sp04_d435_s3_tV_q_0	sp04_d435_s3_tV	stutter	sp04	final stress	verb focus	EA	question	data/data-severe-issues/stutter-or-missing-sound/EA
mɑɾjɑmə «kʰɑkelə» ɑsɑt͡sʰ	Մարիամը «քակելը» ասաց։	sp04_d436_s2_tS_a	sp04_d436_s2_tS		sp04	penultimate stress (-ə)	subject focus	EA	answer	data/data-few-issues/EA
ov «kʰɑkelə» ɑsɑt͡sʰ	Ո՞վ «քակելը» ասաց։	sp04_d436_s2_tS_q	sp04_d436_s2_tS		sp04	penultimate stress (-ə)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «bopiki» ɑsɑt͡sʰ	Մարիամը «բոպիկի» ասաց	sp04_d437_s3_tV_a	sp04_d437_s3_tV		sp04	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d437_s3_tV_i	sp04_d437_s3_tV		sp04	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d437_s3_tV_n	sp04_d437_s3_tV		sp04	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «bopiki» kɑɾtʰɑt͡sʰ	Մարիամը «բոպիկի» կարդա՞ց։	sp04_d437_s3_tV_q	sp04_d437_s3_tV		sp04	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «pʰɑpʰuki» ɑsɑt͡sʰ	Մարիամը «փափուկի» ասաց։	sp04_d438_s3_tS_a	sp04_d438_s3_tS		sp04	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «pʰɑpʰuki» ɑsɑt͡sʰ	Ո՞վ «փափուկի» ասաց։	sp04_d438_s3_tS_q	sp04_d438_s3_tS		sp04	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «utʰeɾoɾtʰ» ɑsɑt͡sʰ	Մարիամը «ութերորդ» ասաց։	sp04_d439_s1o_tS_a	sp04_d439_s1o_tS		sp04	initial stress (ordinal)	subject focus	EA	answer	data/data-few-issues/EA
ov «utʰeɾoɾtʰ» ɑsɑt͡sʰ	Ո՞վ «ութերորդ» ասաց։	sp04_d439_s1o_tS_q	sp04_d439_s1o_tS		sp04	initial stress (ordinal)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tupʰeɾə» ɑsɑt͡sʰ	Մարիամը «տուփերը» ասաց։	sp04_d44_s2_tS_a	sp04_d44_s2_tS	minor aspiration puff on microphone	sp04	penultimate stress (-ə)	subject focus	EA	answer	data/data-few-issues/EA
ov «tupʰeɾə» ɑsɑt͡sʰ	Ո՞վ «տուփերը» ասաց։	sp04_d44_s2_tS_q	sp04_d44_s2_tS	minor aspiration puff on microphone	sp04	penultimate stress (-ə)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ʃɑpiki» ɑsɑt͡sʰ	Մարիամը «շապիկի» ասաց։	sp04_d440_s3_tO_a	sp04_d440_s3_tO		sp04	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d440_s3_tO_q	sp04_d440_s3_tO		sp04	final stress	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «χɑt͡ʃʰelu» ɑsɑt͡sʰ	Մարիամը «խաչելու» ասաց։	sp04_d441_s3_tS_a	sp04_d441_s3_tS		sp04	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «χɑt͡ʃʰelu» ɑsɑt͡sʰ	Ո՞վ «խաչելու» ասաց։	sp04_d441_s3_tS_q	sp04_d441_s3_tS		sp04	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hinoɾen» ɑsɑt͡sʰ	Մարիամը «հինորեն» ասաց։	sp04_d442_s3a_tS_a	sp04_d442_s3a_tS		sp04	final stress (adverb)	subject focus	EA	answer	data/data-few-issues/EA
ov «hinoɾen» ɑsɑt͡sʰ	Ո՞վ «հինորեն» ասաց։	sp04_d442_s3a_tS_q	sp04_d442_s3a_tS		sp04	final stress (adverb)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ʃiʃeɾə» ɑsɑt͡sʰ	Մարիամը «շիշերը» ասաց	sp04_d443_s2_tV_a	sp04_d443_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d443_s2_tV_i	sp04_d443_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d443_s2_tV_n	sp04_d443_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «ʃiʃeɾə» kɑɾtʰɑt͡sʰ	Մարիամը «շիշերը» կարդա՞ց։	sp04_d443_s2_tV_q	sp04_d443_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tɑbɑtət» ɑsɑt͡sʰ	Մարիամը «տաբատդ» ասաց	sp04_d444_s2t_tV_a	sp04_d444_s2t_tV		sp04	penultimate stress (-ət)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d444_s2t_tV_i	sp04_d444_s2t_tV		sp04	penultimate stress (-ət)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d444_s2t_tV_n	sp04_d444_s2t_tV		sp04	penultimate stress (-ət)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «tɑbɑtət» kɑɾtʰɑt͡sʰ	Մարիամը «տաբատդ» կարդա՞ց։	sp04_d444_s2t_tV_q	sp04_d444_s2t_tV		sp04	penultimate stress (-ət)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰɑd͡ʒoɾen» ɑsɑt͡sʰ	Մարիամը «քաջորեն» ասաց	sp04_d445_s3a_tV_a	sp04_d445_s3a_tV		sp04	final stress (adverb)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d445_s3a_tV_i	sp04_d445_s3a_tV		sp04	final stress (adverb)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d445_s3a_tV_n	sp04_d445_s3a_tV		sp04	final stress (adverb)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «kʰɑd͡ʒoɾen» kɑɾtʰɑt͡sʰ	Մարիամը «քաջորեն» կարդա՞ց։	sp04_d445_s3a_tV_q	sp04_d445_s3a_tV		sp04	final stress (adverb)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «pʰɑpʰuki» ɑsɑt͡sʰ	Մարիամը «փափուկի» ասաց։	sp04_d446_s3_tO_a	sp04_d446_s3_tO	minor aspiration puff on microphone	sp04	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d446_s3_tO_q	sp04_d446_s3_tO		sp04	final stress	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kɑpikəs» ɑsɑt͡sʰ	Մարիամը «կապիկս» ասաց։	sp04_d447_s2s_tO_a	sp04_d447_s2s_tO		sp04	penultimate stress (-əs)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d447_s2s_tO_q	sp04_d447_s2s_tO		sp04	penultimate stress (-əs)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «χɑnutʰət» ɑsɑt͡sʰ	Մարիամը «խանութդ» ասաց	sp04_d448_s2t_tV_a	sp04_d448_s2t_tV		sp04	penultimate stress (-ət)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d448_s2t_tV_i	sp04_d448_s2t_tV		sp04	penultimate stress (-ət)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d448_s2t_tV_n	sp04_d448_s2t_tV		sp04	penultimate stress (-ət)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «χɑnutʰət» kɑɾtʰɑt͡sʰ	Մարիամը «խանութդ» կարդա՞ց։	sp04_d448_s2t_tV_q	sp04_d448_s2t_tV		sp04	penultimate stress (-ət)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tʰɑtʰikə» ɑsɑt͡sʰ	Մարիամը «թաթիկը» ասաց։	sp04_d449_s2_tO_a	sp04_d449_s2_tO		sp04	penultimate stress (-ə)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d449_s2_tO_q	sp04_d449_s2_tO		sp04	penultimate stress (-ə)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «dɑtelu» ɑsɑt͡sʰ	Մարիամը «դատելու» ասաց։	sp04_d45_s3_tS_a	sp04_d45_s3_tS		sp04	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «dɑtelu» ɑsɑt͡sʰ	Ո՞վ «դատելու» ասաց։	sp04_d45_s3_tS_q	sp04_d45_s3_tS		sp04	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hinoɾen» ɑsɑt͡sʰ	Մարիամը «հինորեն» ասաց։	sp04_d450_s3a_tS_a	sp04_d450_s3a_tS		sp04	final stress (adverb)	subject focus	EA	answer	data/data-few-issues/EA
ov «hinoɾen» ɑsɑt͡sʰ	Ո՞վ «հինորեն» ասաց։	sp04_d450_s3a_tS_q	sp04_d450_s3a_tS		sp04	final stress (adverb)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰɑʃelə» ɑsɑt͡sʰ	Մարիամը «քաշելը» ասաց։	sp04_d451_s2_tS_a	sp04_d451_s2_tS		sp04	penultimate stress (-ə)	subject focus	EA	answer	data/data-few-issues/EA
ov «kʰɑʃelə» ɑsɑt͡sʰ	Ո՞վ «քաշելը» ասաց։	sp04_d451_s2_tS_q	sp04_d451_s2_tS		sp04	penultimate stress (-ə)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰit͡ʃʰeɾi» ɑsɑt͡sʰ	Մարիամը «քիչերի» ասաց։	sp04_d452_s3_tO_a	sp04_d452_s3_tO		sp04	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d452_s3_tO_q	sp04_d452_s3_tO		sp04	final stress	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰitʰeɾi» ɑsɑt͡sʰ	Մարիամը «քիթերի» ասաց։	sp04_d453_s3_tS_a	sp04_d453_s3_tS		sp04	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «kʰitʰeɾi» ɑsɑt͡sʰ	Ո՞վ «քիթերի» ասաց։	sp04_d453_s3_tS_q	sp04_d453_s3_tS		sp04	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰɑʃelə» ɑsɑt͡sʰ	Մարիամը «քաշելը» ասաց	sp04_d454_s2_tV_a	sp04_d454_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d454_s2_tV_i	sp04_d454_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d454_s2_tV_n	sp04_d454_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «kʰɑʃelə» kɑɾtʰɑt͡sʰ	Մարիամը «քաշելը» կարդա՞ց։	sp04_d454_s2_tV_q	sp04_d454_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «χɑnutʰi» ɑsɑt͡sʰ	Մարիամը «խանութի» ասաց	sp04_d455_s3_tV_a	sp04_d455_s3_tV		sp04	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d455_s3_tV_i	sp04_d455_s3_tV		sp04	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d455_s3_tV_n	sp04_d455_s3_tV		sp04	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «χɑnutʰi» kɑɾtʰɑt͡sʰ	Մարիամը «խանութի» կարդա՞ց։	sp04_d455_s3_tV_q	sp04_d455_s3_tV		sp04	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ʃiʃeɾi» ɑsɑt͡sʰ	Մարիամը «շիշերի» ասաց։	sp04_d456_s3_tS_a	sp04_d456_s3_tS		sp04	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «ʃiʃeɾi» ɑsɑt͡sʰ	Ո՞վ «շիշերի» ասաց։	sp04_d456_s3_tS_q	sp04_d456_s3_tS		sp04	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰit͡ʃʰoɾen» ɑsɑt͡sʰ	Մարիամը «քիչորեն» ասաց։	sp04_d457_s3a_tO_a	sp04_d457_s3a_tO	minor aspiration puff on microphone	sp04	final stress (adverb)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d457_s3a_tO_q	sp04_d457_s3a_tO		sp04	final stress (adverb)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «nɑχoɾen» ɑsɑt͡sʰ	Մարիամը «նախորեն» ասաց	sp04_d458_s3a_tV_a	sp04_d458_s3a_tV		sp04	final stress (adverb)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d458_s3a_tV_i	sp04_d458_s3a_tV		sp04	final stress (adverb)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d458_s3a_tV_n	sp04_d458_s3a_tV		sp04	final stress (adverb)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «nɑχoɾen» kɑɾtʰɑt͡sʰ	Մարիամը «նախորեն» կարդա՞ց։	sp04_d458_s3a_tV_q	sp04_d458_s3a_tV		sp04	final stress (adverb)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «buʒelu» ɑsɑt͡sʰ	Մարիամը «բուժելու» ասաց։	sp04_d459_s3_tO_a	sp04_d459_s3_tO		sp04	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d459_s3_tO_q	sp04_d459_s3_tO	unexpected rise in non-verb question	sp04	final stress	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑtiki» ɑsɑt͡sʰ	Մարիամը «հատիկի» ասաց	sp04_d46_s3_tV_a	sp04_d46_s3_tV		sp04	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d46_s3_tV_i	sp04_d46_s3_tV		sp04	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d46_s3_tV_n	sp04_d46_s3_tV		sp04	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «hɑtiki» kɑɾtʰɑt͡sʰ	Մարիամը «հատիկի» կարդա՞ց։	sp04_d46_s3_tV_q	sp04_d46_s3_tV		sp04	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑtukə» ɑsɑt͡sʰ	Մարիամը «հատուկը» ասաց։	sp04_d47_s2_tO_a	sp04_d47_s2_tO		sp04	penultimate stress (-ə)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d47_s2_tO_q	sp04_d47_s2_tO		sp04	penultimate stress (-ə)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑtikət» ɑsɑt͡sʰ	Մարիամը «հատիկդ» ասաց։	sp04_d48_s2t_tO_a	sp04_d48_s2t_tO		sp04	penultimate stress (-ət)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d48_s2t_tO_q	sp04_d48_s2t_tO	rare occurance of rising question intonation	sp04	penultimate stress (-ət)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «mɑnukət» ɑsɑt͡sʰ	Մարիամը «մանուկդ» ասաց։	sp04_d49_s2t_tS_a	sp04_d49_s2t_tS		sp04	penultimate stress (-ət)	subject focus	EA	answer	data/data-few-issues/EA
ov «mɑnukət» ɑsɑt͡sʰ	Ո՞վ «մանուկդ» ասաց։	sp04_d49_s2t_tS_q_0	sp04_d49_s2t_tS	stutter	sp04	penultimate stress (-ət)	subject focus	EA	question	data/data-severe-issues/stutter-or-missing-sound/EA
mɑɾjɑmə «suteɾi» ɑsɑt͡sʰ	Մարիամը «սուտերի» ասաց։	sp04_d5_s3_tO_a	sp04_d5_s3_tO		sp04	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d5_s3_tO_q	sp04_d5_s3_tO		sp04	final stress	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «mɑnuki» ɑsɑt͡sʰ	Մարիամը «մանուկի» ասաց	sp04_d50_s3_tV_a	sp04_d50_s3_tV		sp04	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d50_s3_tV_i	sp04_d50_s3_tV		sp04	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d50_s3_tV_n	sp04_d50_s3_tV		sp04	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «mɑnuki» kɑɾtʰɑt͡sʰ	Մարիամը «մանուկի» կարդա՞ց։	sp04_d50_s3_tV_q	sp04_d50_s3_tV		sp04	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hisusi» ɑsɑt͡sʰ	Մարիամը «Հիսուսի» ասաց։	sp04_d51_s3_tO_a	sp04_d51_s3_tO		sp04	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d51_s3_tO_q	sp04_d51_s3_tO		sp04	final stress	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «bɑt͡sʰoɾen» ɑsɑt͡sʰ	Մարիամը «բացորեն» ասաց	sp04_d52_s3a_tV_a	sp04_d52_s3a_tV		sp04	final stress (adverb)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d52_s3a_tV_i	sp04_d52_s3a_tV		sp04	final stress (adverb)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d52_s3a_tV_n	sp04_d52_s3a_tV		sp04	final stress (adverb)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «bɑt͡sʰoɾen» kɑɾtʰɑt͡sʰ	Մարիամը «բացորեն» կարդա՞ց։	sp04_d52_s3a_tV_q	sp04_d52_s3a_tV		sp04	final stress (adverb)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰitʰeɾə» ɑsɑt͡sʰ	Մարիամը «քիթերը» ասաց	sp04_d53_s2_tV_a	sp04_d53_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d53_s2_tV_i	sp04_d53_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d53_s2_tV_n	sp04_d53_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «kʰitʰeɾə» kɑɾtʰɑt͡sʰ	Մարիամը «քիթերը» կարդա՞ց։	sp04_d53_s2_tV_q	sp04_d53_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «t͡ʃɑʃɑki» ɑsɑt͡sʰ	Մարիամը «ճաշակի» ասաց	sp04_d54_s3_tV_a	sp04_d54_s3_tV		sp04	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d54_s3_tV_i	sp04_d54_s3_tV		sp04	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d54_s3_tV_n	sp04_d54_s3_tV		sp04	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «t͡ʃɑʃɑki» kɑɾtʰɑt͡sʰ	Մարիամը «ճաշակի» կարդա՞ց։	sp04_d54_s3_tV_q	sp04_d54_s3_tV		sp04	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰit͡ʃʰeɾi» ɑsɑt͡sʰ	Մարիամը «քիչերի» ասաց։	sp04_d55_s3_tS_a	sp04_d55_s3_tS		sp04	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «kʰit͡ʃʰeɾi» ɑsɑt͡sʰ	Ո՞վ «քիչերի» ասաց։	sp04_d55_s3_tS_q	sp04_d55_s3_tS		sp04	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «butʰeɾə» ɑsɑt͡sʰ	Մարիամը «բութերը» ասաց։	sp04_d56_s2_tO_a	sp04_d56_s2_tO		sp04	penultimate stress (-ə)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d56_s2_tO_q	sp04_d56_s2_tO		sp04	penultimate stress (-ə)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «χɑnutʰi» ɑsɑt͡sʰ	Մարիամը «խանութի» ասաց։	sp04_d57_s3_tS_a	sp04_d57_s3_tS		sp04	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «χɑnutʰi» ɑsɑt͡sʰ	Ո՞վ «խանութի» ասաց։	sp04_d57_s3_tS_q	sp04_d57_s3_tS		sp04	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tʰukʰeɾə» ɑsɑt͡sʰ	Մարիամը «թուքերը» ասաց։	sp04_d58_s2_tS_a	sp04_d58_s2_tS		sp04	penultimate stress (-ə)	subject focus	EA	answer	data/data-few-issues/EA
ov «tʰukʰeɾə» ɑsɑt͡sʰ	Ո՞վ «թուքերը» ասաց։	sp04_d58_s2_tS_q	sp04_d58_s2_tS		sp04	penultimate stress (-ə)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «bopikə» ɑsɑt͡sʰ	Մարիամը «բոպիկը» ասաց	sp04_d59_s2_tV_a	sp04_d59_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d59_s2_tV_i	sp04_d59_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d59_s2_tV_n	sp04_d59_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «bopikə» kɑɾtʰɑt͡sʰ	Մարիամը «բոպիկը» կարդա՞ց։	sp04_d59_s2_tV_q	sp04_d59_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑtuki» ɑsɑt͡sʰ	Մարիամը «հատուկի» ասաց։	sp04_d6_s3_tS_a	sp04_d6_s3_tS		sp04	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «hɑtuki» ɑsɑt͡sʰ	Ո՞վ «հատուկի» ասաց։	sp04_d6_s3_tS_q	sp04_d6_s3_tS		sp04	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ʃiʃeɾə» ɑsɑt͡sʰ	Մարիամը «շիշերը» ասաց։	sp04_d60_s2_tO_a	sp04_d60_s2_tO		sp04	penultimate stress (-ə)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp04_d60_s2_tO_q	sp04_d60_s2_tO		sp04	penultimate stress (-ə)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ʃɑpʰɑtʰə» ɑsɑt͡sʰ	Մարիամը «շաբաթը» ասաց	sp04_d61_s2_tV_a	sp04_d61_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d61_s2_tV_i	sp04_d61_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d61_s2_tV_n	sp04_d61_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «ʃɑpʰɑtʰə» kɑɾtʰɑt͡sʰ	Մարիամը «շաբաթը» կարդա՞ց։	sp04_d61_s2_tV_q	sp04_d61_s2_tV		sp04	penultimate stress (-ə)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ditelu» ɑsɑt͡sʰ	Մարիամը «դիտելու» ասաց	sp04_d62_s3_tV_a	sp04_d62_s3_tV		sp04	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d62_s3_tV_i	sp04_d62_s3_tV		sp04	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d62_s3_tV_n	sp04_d62_s3_tV		sp04	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «ditelu» kɑɾtʰɑt͡sʰ	Մարիամը «դիտելու» կարդա՞ց։	sp04_d62_s3_tV_q	sp04_d62_s3_tV		sp04	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ʃutoɾen» ɑsɑt͡sʰ	Մարիամը «շուտորեն» ասաց	sp04_d63_s3a_tV_a	sp04_d63_s3a_tV		sp04	final stress (adverb)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp04_d63_s3a_tV_i	sp04_d63_s3a_tV		sp04	final stress (adverb)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp04_d63_s3a_tV_n	sp04_d63_s3a_tV		sp04	final stress (adverb)	verb focus	EA	negation	data/data-few-issues/EA
